python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
single,英 [?s??gl]美 [?s??ɡ?l],adj. 单一的; （打斗、比赛等）一对一的; 惟一的; 适于一人的; n. 单程票; （旅馆等的）
access,英 [??kses]美 [??ks?s],n. 入口，出口; 接近，进入; 增长; 爆发; vt. 接近，进入; 使用，接近，获取;
state,英 [ste?t]美 [stet],n. 国家; 州; 状况，情况; 资格; vt. 规定; 陈述，声明; adj. 国家的; 国务的，
system,英 [?s?st?m]美 [?s?st?m],n. 制度; 体系，系统; 身体; 方法;
optional,英 [??p??nl]美 [?ɑp??nl],adj. 可选择的; 随意的，任意的; 非强制的; 选修科目;
client,英 [?kla??nt]美 [?kla??nt],n. 顾客; 当事人; 诉讼委托人; [计算机]客户端;
element,英 [?el?m?nt]美 [??l?m?nt],n. 要素; [化]元素; 原理; [电]电阻丝;
overflow,英 [???v??fl??]美 [?o?v?r?flo?],vt.& vi. 溢出，淹没; 挤满，充满; 洋溢; 资源过剩; n. 泛滥，溢出物; 溢流管; 充
change,英 [t?e?nd?]美 [t?end?],vt. 改变，变更; 交换，替换; 兑换; 换衣服（床单）; vi. 改变，转变; 交换，互换; 换
writing,英 [?ra?t??]美 [?ra?t??],n. 写作; 文字; 文章; 笔迹; v. 写信; 写（ write的现在分词）;
database,"英 [?de?t?be?s]美 [?det??bes, ?d?t?-]",n. 数据库; 资料库; 信息库;
package,英 [?p?k?d?]美 [?p?k?d?],vt. 包装; 把…装箱; 向…提出一揽子计划; n. 包裹; 包装袋; 包装盒; 一组建议;
process,英 [?pr??ses]美 [?pro?ses],n. 过程; 工序; 做事方法; 工艺流程; vt. 处理; 加工; 审阅; 审核; vi. 列队行
yield,英 [ji:ld]美 [jild],vt. 屈服，投降; 生产; 获利; 不再反对; vi. 放弃，屈服; 生利; 退让，退位; n. 
possible,英 [?p?s?bl]美 [?pɑs?bl],adj. 可能的; 可接受的; 合理的，可以允许的; 不坏的; n. 可能性，潜在性; 可能的人物，
defined,英 [d?'fa?nd]美 [d?'fa?nd],adj. 有定义的，明确的; 清晰的，轮廓分明的; v. 给…下定义，解释，限定(define的过去
implementation,英 [??mpl?men'te??n]美 [??mpl?m?n?te??n],n. 贯彻; 成就; implement的变形; 安装启用;
filename,英 [?fa?lne?m]美 [?fa?l?nem],n. 文件名;
match,英 [m?t?]美 [m?t?],n. 比赛; 火柴; 对手; 相配的人（或物）; vt. 相同; 适应; 使较量; 使等同于; vt
parent,英 [?pe?r?nt]美 [?per?nt],n. 父亲（或母亲）; 先辈; 根源，起源; 保护者;
tuple,英 [t?pl]美 [t?pl],n. 元组，数组;
shown,英 [???n]美 [?o?n],v. 表现出; 给…看( show的过去分词 ); 显露出; 上演;
found,英 [fa?nd]美 [fa?nd],vt. 创办，成立，建立; v. 找到; 发现（ find的过去式）; 到达; 发觉;
extension,英 [?k?sten?n]美 [?k?st?n??n],n. 伸展，扩大; 延长，延期; [医]牵引; 电话分机;
standard,英 [?st?nd?d]美 [?st?nd?rd],n. 标准，规格; 旗，军旗; 度量衡标准; 直立支柱; adj. 标准的，合格的; 普遍的，一般的
thread,英 [θred]美 [θr?d],n. 螺纹; 线; 线索; 线状物; vt. 穿成串; 将（针、线等）穿过…; 用…线缝; 给…装入
useful,英 [?ju:sfl]美 [?jusf?l],adj. 有用的，有益的，有帮助的; 令人满意的;
message,英 [?mes?d?]美 [?m?s?d?],n. 消息; 信息; 要旨; 教训; v. 给…发消息; 给…留言;
socket,英 [?s?k?t]美 [?sɑk?t],n. 插座; 灯座; 窝，穴; [解]眼窝，孔窝; vt. 把…装入插座; 给…配插座;
local,英 [?l??kl]美 [?lo?kl],adj. 局部的; 地方的; 当地的，本地的; 褊狭的; n. 慢车; 本地居民（律师、教士、医生）
search,英 [s?:t?]美 [s?rt?],v. 搜查; 搜寻，搜索; 调查; 探求; n. 搜索; 调查; 探求;
command,英 [k??mɑ:nd]美 [k??m?nd],n. 命令，指挥; 司令部，指挥部; [计算机]指令; 控制力; vt. 命令; 指挥，控制，命令;
structure,英 [?str?kt??(r)]美 [?str?kt??],n. 结构; 构造; 建筑物; 体系 vt. 构成，排列; 安排
template,英 [?temple?t]美 [?t?mpl?t],n. 模板; 样板; 型板;
context,英 [?k?ntekst]美 [?kɑntekst],n. 语境; 上下文; 背景; 环境;
based,英 [be?st]美 [best],adj. 有根基的; 有基地的; v. 立基于; 以…为基础(base的过去式和过去分词);
delete,英 [d??li:t]美 [di?lit],vt.& vi. 删除;
field,英 [fi:ld]美 [fild],n. 田; （作某种用途的）场地; （学习或研究的）领域; 运动场; vi. [棒球、板球等]担任外
table,英 [?te?bl]美 [?teb?l],n. 桌子; 表，目录; 手术台，工作台，游戏台; 平地层; vt. 制表; 搁置; 嵌合; 搁置;
topic,英 [?t?p?k]美 [?tɑp?k],n. 主题; 话题，论题; 标题，细目;
expression,英 [?k?spre?n]美 [?k?spr???n],n. 表现，表示，表达; 表情，脸色，态度，腔调，声调; [数]式，符号; 词句，语句，措辞，说法;
syntax,英 [?s?nt?ks]美 [?s?n?t?ks],n. 语法; 句法; 句法规则[分析]; 语构;
property,英 [?pr?p?ti]美 [?prɑp?rti],n. 特性，属性; 财产，地产; [戏]道具; 所有权;
source,英 [s?:s]美 [s?rs],n. 根源，本源; 源头，水源; 原因; 提供消息的人; vt. （从…）获得; 发起; 向…提供消
range,英 [re?nd?]美 [rend?],n. 范围; 射程; 类别; （山脉，房屋等的）排列; vi. 搜索; 变化; 延伸; 漫游; vt
recent,英 [?ri:snt]美 [?ris?nt],adj. 最近的; 新近的; 近代的; [地]全新世的;
check,英 [t?ek]美 [t??k],vt. 检查，核对; 制止，抑制; 在…上打勾; vi. 核实，查核; 中止; 打勾; [象棋]将一
pattern,英 [?p?tn]美 [?p?t?rn],n. 模式; 图案; 花样，样品; 榜样，典范; vt. 模仿; 以图案装饰; vi. 形成图案;
current,英 [?k?r?nt]美 [?k?r?nt],adj. 现在的; 最近的; 流行的; 流传的; n. 电流; 趋势; 水流; 涌流;
keyword,英 [?ki:w?:d]美 [?kiw?rd],n. 关键词; 关键字;
binary,英 [?ba?n?ri]美 [?ba?n?ri],adj. 二进制的; 二元的; 双重的，由两个东西组成的; 二态的; n. 一双; 双体; 二进制数
connection,英 [k??nek?n]美 [k??n?k??n],n. 连接; 联系，关系; 连接点; 亲戚;
integer,英 [??nt?d??(r)]美 [??nt?d??],n. 整数;
append,英 [??pend]美 [??p?nd],vt. 附加; 添加; 贴上; 签（名）;
logging,英 [?l?g??]美 [?l?g??],n. <美>伐木搬运业; 记录，存入; 航行日志; v. 砍伐树木(log的现在分词);
share,英 [?e?(r)]美 [?er],n. 股; （参与、得到等的）份; （分享到的或贡献出的）一份; 市场占有率; vt.& vi. 共
debug,英 [?di:?b?g]美 [di?b?ɡ],vt. 拆除窃听器; 排除故障;
improvement,英 [?m?pru:vm?nt]美 [?m?pruvm?nt],n. 改进，改善，改良，增进，进步; （美）装修，改良措施; 利用，活用; 更优秀的人，更进步的人;
required,英 [r?'kwa??d]美 [r?'kwa??d],adj. 必须的，<美>（学科）必修的; v. 需要; 要求( require的过去式和过去分词 )
generator,英 [?d?en?re?t?(r)]美 [?d??n??ret?],n. 发电机，发生器; 电力公司; 生产者，创始者; [乐]基础低音;
wrapper,英 [?r?p?(r)]美 [?r?p?],n. 包装纸; 封套; 封皮; （食品等的）包装材料;
install,英 [?n?st?:l]美 [?n?st?l],vt. 安装; 安顿，安置; 任命; 使…正式就职;
perform,英 [p??f?:m]美 [p?r?f?rm],vt.& vi. 执行; 履行; 表演; 扮演; vt. 进行; 完成; 做; 工作; vi. 运行
define,英 [d??fa?n]美 [d??fa?n],vt. 规定; 使明确; 精确地解释; 画出…的线条; vi. （给词、短语等）下定义，构成释义;
shape,英 [?e?p]美 [?ep],n. 形状; 模型; 状态; 身材; vt. 塑造; 使符合; 体现; vi. 形成; 使成形;
descriptor,英 [d??skr?pt?(r)]美 [d??skr?pt?],n. 描述符;
application,英 [??pl??ke??n]美 [??pl??ke??n],n. 适用，应用，运用; 申请，请求，申请表格; 勤勉，用功; 敷用，敷用药;
available,英 [??ve?l?bl]美 [??vel?b?l],adj. 可获得的; 有空的; 可购得的; 能找到的;
response,英 [r??sp?ns]美 [r??spɑns],n. 反应; 回答，答复; [宗]回应经文，应唱圣歌;
extra,英 [?ekstr?]美 ['ekstr?],adj. 额外的，补充的，附加的; 特大的，特别的; n. 附加物，额外的事物; 临时演员; 号外;
include,英 [?n?klu:d]美 [?n?klud],vt. 包括; 包含; 计入; 包住;
random,英 [?r?nd?m]美 [?r?nd?m],adj. 随机的; 任意的; 胡乱的; n. 随意; 偶然的行动;
specific,英 [sp??s?f?k]美 [sp??s?f?k],adj. 具体的; 明确的; 特种的; [免疫学]特效的; n. 特效药; 特性; 细节; 显著的性
address,英 [??dres]美 [??dres],n. 地址; 称呼; 演说; 通信处; v. 称呼; 演说; 写姓名地址; 向…说话;
special,英 [?spe?l]美 [?sp???l],adj. 特殊的; 专用的; 专门的; 重要的; n. 专车; 特价; 特刊; 特约稿;
returned,英 [r?'t?:nd]美 [r?'t?nd],adj. 被送回的，归来的; v. 恢复; 归还; 返回，回来( return的过去式和过去分词 )
algorithm,英 [??lg?r?e?m]美 [??lɡ??r?e?m],n. 演算法; 运算法则; 计算程序;
exchange,英 [?ks?t?e?nd?]美 [?ks?t?end?],n. 交换; 交易所; 交易; 兑换（率）; vt. 兑换; 交换，互换; 交换，调换; vi. 交
operator,英 [??p?re?t?(r)]美 [?ɑp?re?t?(r)],n. 操作员; 经营者; 运算符; 电话接线员;
cache,英 [k??]美 [k??],n. 藏物处; 隐藏处; 藏匿的珍宝; <电脑>快速缓冲贮存区; vt. 贮藏; vi. 躲藏;
calling,英 [?k?:l??]美 [?k?l??],n. 呼喊; （从事某职业或活动的）欲望; 职业; 邀请; v. 叫( call的现在分词); 通电
discuss,英 [d??sk?s]美 [d??sk?s],vt. 商量; 讨论，谈论; 论述，详述;
static,英 [?st?t?k]美 [?st?t?k],adj. 静止的; 静电的; 不变的; [物]静力的; n. 静电; 静力学; [物]静电（干扰）;
similar,英 [?s?m?l?(r)]美 [?s?m?l?],adj. 相似的; 类似的; 同样的; 同类的; n. 类似物; 相像的人; 相似物;
price,英 [pra?s]美 [pra?s],n. 代价; 价格，价钱; 价值; 赏金; vt. 定价; 标价; 问…的价格; 给…定价;
related,英 [r??le?t?d]美 [r??let?d],adj. 有关系的; 叙述的; vt. 叙述(relate过去式和过去分词);
second,英 [?sek?nd]美 [?sek?nd],n. 秒; 瞬间; 次货; 第二份食物; adj. 第二的; 次要的; 居第二位的; 另外的; ad
general,英 [?d?enr?l]美 [?d??n?r?l],adj. 普遍的; 大致的; 综合的; 总的，全体的; n. 一般; 常规; 上将; 一般原则;
float,英 [fl??t]美 [flo?t],vt.& vi. （使）浮动; （使）漂浮; 自由浮动; vi. 游荡; vt. 提出，提请考虑; 
something,英 [?s?mθ??]美 [?s?mθ??],pron. 某物，某事; 重要的事物[人]，有一定意义的事物; n. （表示不确切的描述或数量）大致
build,英 [b?ld]美 [b?ld],vt. 建立; 建造，构筑; 开发; 为…建立基础; vi. 建造，营造; 扩大，扩展; 发展，达到
queue,英 [kju:]美 [kju],n. （人或车辆）行列，长队; 辫子; vi. （人、车等）排队等候; vt. （使）排队，列队等待
lists,英 ['l?sts]美 ['l?sts],n. 名单; 清单; 目录; 竞技场; 一览表( list的名词复数 );
consider,英 [k?n?s?d?(r)]美 [k?n?s?d?r ],vt.& vi. 考虑; 把（某人，某事）看作…，认为（某人，某事）如何; 考虑，细想; vt. 考
important,英 [?m?p?:tnt]美 [?m?p?rtnt],adj. 重要的; 权威的; 有势力的; 有地位的;
length,英 [le?θ]美 [le?θ],n. 长度，长; 时间的长短; （语）音长; 一段，一节;
event,英 [??vent]美 [??v?nt],n. 事件，大事; 活动，经历; 结果; 运动项目;
apply,英 [??pla?]美 [??pla?],vt. 申请; 涂; 应用，运用; 敷（药）; vi. 申请，请求，适用; 适用，适合; 专心致志;
implement,英 [??mpl?ment]美 [??mpl?m?nt],vt. 实施，执行; 使生效，实现; 落实（政策）; 把…填满; n. 工具，器械; 家具; 手段;
interpreter,英 [?n?t?:pr?t?(r)]美 [?n?t?rpr?t?(r)],n. 解释者; 口译译员; [军事]判读员; [自]翻译器;
feature,英 [?fi:t??(r)]美 [?fit??],n. 特征，特点; 容貌，面貌; （期刊的）特辑; 故事片; vt. 使有特色; 描写…的特征; 以
means,英 [mi:nz]美 [minz],n. 手段; 方法（ mean的名词复数）; 收入; 财富; v. 意味着（ mean的第三人称单数
running,英 [?r?n??]美 [?r?n??],n. 跑步; 运转; 流出; adj. 跑着的; 流动的; 连续的; 操作中的，运转着的; v. 跑
getting,英 [?get??]美 ['ɡet??],n. 获得（物），利益; v. 得到( get的现在分词 ); 抓住; 说服; 受到（惩罚等）;
network,英 [?netw?:k]美 [?netw?rk],n. 网; （电视与计算机）网络; 网状物; 广播网; vt.& vi. 将…连接成网络; 建立工作
provide,英 [pr??va?d]美 [pr??va?d],vt.& vi. 提供，供给，供应; vt. 规定; 提供(+for); 装备; 预备; vi. 抚
normal,英 [?n?:ml]美 [?n?rml],adj. 正常的; 正规的，标准的; [数学]正交的; 精神健全的; n. 标准; 正常，常态; [
signature,英 [?s?gn?t??(r)]美 [?s?ɡn?t??],n. 签名; 署名; 识别标志，鲜明特征; [医]药的用法说明;
handle,英 [?h?ndl]美 [?h?ndl],n. 手柄; （织物、毛皮等的）手感; 举动; 柄状物; vi. 操作，操控; 容易搬运; vt. 
working,英 [?w?:k??]美 [?w?rk??],adj. （涉及）工作的; （人）有工作的; （时间）用于工作上的; （想法等）可作为基础的; v.
making,英 [?me?k??]美 [?mek??],n. 制造; 产生的过程; 成功改进的手段; 原料，材料; v. “make”的现在分词;
actually,英 [??kt?u?li]美 [??kt?u?li],adv. 实际上; 确实; 竟; 事实上;
original,英 [??r?d??nl]美 [??r?d??n?l],adj. 原始的; 最初的; 独创的; 新颖的; n. 原件; 原文; 原型; 怪人;
reading,英 [?ri:d??]美 ['rid??],n. 阅读; 读数; 宣读; 读物; v. 读( read的现在分词); 看懂; 理解; 显示，标明
directly,"英 [d??rektli]美 [d??r?ktli, da?-]",adv. 直接地; 不久，立即; 正好地，恰好地; 坦率地; conj. 一…就…;
parse,英 [pɑ:z]美 [pɑrs],vt. 从语法上描述或分析（词句等）;
count,英 [ka?nt]美 [ka?nt],n. 总数; 数数; 罪状; 论点; v. 数数; 计算总数; 把…算入; 重要;
character,英 [?k?r?kt?(r)]美 [?k?r?kt?],n. 性格; 角色; 特点; 字母; vt. 刻，印; 使具有特征;
section,英 [?sek?n]美 [ ?s?k??n],n. 部分; 节; 部件; 部门; vi. 切开; 切断; 做（动物或植物组织）切片; 把（精神病患
content,英 ['k?ntent]美 [?kɑntent],n. 内容; 满足; （书等的）目录; 容量; adj. 满足的，满意的; 愿意的; 心甘情愿的; 
stock,英 [st?k]美 [stɑk],n. 库存; 股份，股票; 树干; 家畜; adj. 常备的，存货的; 陈旧的; vt. 提供货物;
setting,英 [?set??]美 [?s?t??],n. 环境; 镶嵌; 装置; （某事、戏剧、小说等的）背景; v. 放( set的现在分词); 安插
custom,英 [?k?st?m]美 [?k?st?m],n. 习惯，惯例; 海关，关税; 经常光顾; [总称]（经常性的）顾客; adj. （衣服等）定做的
underlying,英 [??nd??la???]美 [??nd?r?la???],adj. 潜在的，含蓄的; 基础的; 表面下的，下层的; [法]优先的; v. 优先于(underl
various,英 [?ve?ri?s]美 [?veri?s],adj. 各种各样的; 多方面的; 许多的; 各个的，个别的;
lambda,英 [?l?md?]美 ['l?md?],n. 希腊字母的第 11个字;
draft,英 [drɑ:ft]美 [dr?ft],n. 汇票; 草稿; 选派; （尤指房间、烟囱、炉子等供暖系统中的）（小股）气流; vt. 起草; 
interface,英 [??nt?fe?s]美 [??nt?rfe?s],n. 界面; <计>接口; 交界面; v. （使通过界面或接口）接合，连接; [计算机]使联系; v
science,英 [?sa??ns]美 [?sa??ns],n. 科学; 理科; 学科; 技术，知识;
written,英 [?r?tn]美 [?r?tn],adj. 书面的; 写成文字的; 明显受到…影响; （感情）全挂在脸上; v. 写( write的过
window,英 [?w?nd??]美 [?w?ndo?],n. 窗口; 窗，窗户; 〈美俚〉眼镜;
behavior,英 [b?'he?vj?]美 [b??hevj?],n. 行为; 态度; （机器等的）运转状态; （事物的）反应;
definition,英 [?def??n??n]美 [?d?f??n???n],n. 定义; 规定，明确; [物]清晰度; 解释;
close,英 [kl??z]美 [klo?z],adj. 亲密的; 紧密的; 亲近的; vt. 关; 结束; 使靠近; vi. 关闭; 关; 结束;
advanced,英 [?d?vɑ:nst]美 [?d?v?nst],adj. 先进的; 高等的，高深的; 年老的; 晚期的; v. 前进(advance的过去式和过去分
series,英 [?s??ri:z]美 [?s?riz],n. 串联; 级数; 系列，连续; （广播或电视上题材或角色相同的）系列节目;
automatically,英 [??:t?'m?t?kl?]美 [??t??m?t?kl?],adv. 自动地; 无意识地; 不自觉地; 机械地;
parameter,英 [p??r?m?t?(r)]美 [p??r?m?t?],n. [数]参数; <物><数>参量; 限制因素; 决定因素;
operation,英 [??p??re??n]美 [?ɑp??re??n],n. 手术; 操作，经营; [数]运算; 作用;
empty,英 [?empti]美 [??mpti],adj. 空的，空虚的，空洞的; 空闲的，无效的，徒劳的; 无聊的，愚蠢的; 言语或行动空洞的; v
matrix,英 [?me?tr?ks]美 [?metr?ks],n. 基质; <数>矩阵; 模型; 母体，子宫;
added,英 ['?d?d]美 ['?d?d],adj. 更多的; 附加的; 额外的; v. 添加; 加入; 增加; 加;
person,英 [?p?:sn]美 [?p?rsn],n. 人; （语法）人称; 身体; 容貌;
certain,英 [?s?:tn]美 [?s?rtn],adj. 某一; 必然的; 已确定的; pron. [动词用复数]某些;
probably,英 [?pr?b?bli]美 [?prɑb?bli],adv. 大概; 或许; 很可能; 备不住;
image,英 [??m?d?]美 [??m?d?],n. 影像; 肖像; 概念，意向; 镜像，映像; vt. 反映; 想像; 作…的像; 象征;
safari,英 [s??fɑ:ri]美 [s??fɑri],n. 游猎，陆路旅行（尤指在东非或中非）; 类似游猎的假日旅行; 旅行队;
